x,y,t,p
41,172,402073756,-1
104,120,402073759,-1
120,112,402073760,-1
126,138,402073763,-1
97,107,402073805,-1
113,119,402073828,-1
94,88,402073955,1
46,162,402074075,-1
108,104,402074107,-1
116,36,402074113,-1
54,146,402074114,1
120,111,402074119,-1
123,87,402074146,-1
80,167,402074158,-1
110,86,402074175,-1
99,119,402074212,-1
101,150,402074240,1
111,121,402074294,1
27,96,402074300,-1
128,107,402074303,-1
52,158,402074303,-1
93,112,402074310,-1
107,110,402074311,-1
110,2,402074338,-1
116,114,402074344,1
90,104,402074387,1
110,84,402074394,-1
101,124,402074397,-1
25,149,402074480,-1
96,116,402074485,-1
117,151,402074487,-1
116,108,402074492,-1
116,116,402074529,-1
87,108,402074558,-1
109,149,402074576,-1
116,113,402074597,1
96,117,402074637,-1
115,153,402074644,-1
107,129,402074651,-1
108,88,402074652,-1
116,106,402074733,1
120,113,402074739,-1
50,130,402074739,-1
116,111,402074751,1
88,110,402074752,1
94,143,402074767,1
93,116,402074809,-1
47,161,402074816,-1
105,93,402074834,-1
125,108,402074851,-1
102,120,402074856,-1
84,89,402074860,1
118,107,402074899,-1
100,119,402074907,-1
104,119,402074911,-1
43,168,402074934,-1
98,117,402074936,-1
116,110,402074969,1
122,88,402074998,-1
56,156,402075023,-1
92,114,402075055,-1
71,134,402075087,-1
70,157,402075088,-1
37,151,402075090,-1
125,100,402075096,-1
57,145,402075171,-1
88,108,402075175,-1
80,98,402075175,1
107,105,402075219,-1
114,121,402075257,-1
107,111,402075259,-1
112,122,402075261,-1
133,92,402075266,-1
119,112,402075283,-1
79,99,402075287,1
120,100,402075324,-1
56,174,402075386,-1
97,126,402075409,-1
99,111,402075412,-1
119,89,402075414,-1
82,174,402075416,-1
24,149,402075503,-1
139,20,402075510,-1
91,114,402075516,-1
88,109,402075538,-1
108,98,402075584,-1
98,121,402075586,-1
100,118,402075586,-1
54,142,402075587,-1
103,126,402075588,-1
118,141,402075595,-1
113,120,402075599,-1
105,110,402075606,-1
115,105,402075610,1
87,109,402075648,-1
108,130,402075658,-1
122,140,402075662,-1
103,125,402075669,-1
114,154,402075670,-1
120,110,402075676,-1
119,116,402075678,-1
89,109,402075735,-1
122,116,402075737,-1
100,123,402075746,-1
85,88,402075792,1
116,115,402075811,1
109,163,402075816,-1
119,115,402075907,-1
52,142,402075924,-1
83,148,402075992,-1
109,132,402075992,-1
96,130,402075995,-1
127,98,402076001,-1
134,98,402076037,-1
106,104,402076037,1
115,120,402076093,-1
102,124,402076160,-1
115,83,402076162,-1
99,108,402076164,-1
91,134,402076170,-1
80,93,402076213,1
116,109,402076232,1
119,144,402076240,-1
113,104,402076271,-1
118,149,402076322,-1
70,123,402076326,-1
103,123,402076327,-1
116,119,402076337,-1
120,112,402076411,-1
40,175,402076411,-1
53,116,402076413,-1
91,133,402076419,-1
116,112,402076430,1
131,96,402076431,-1
83,90,402076442,1
92,115,402076493,-1
115,118,402076508,1
118,116,402076570,-1
90,113,402076582,-1
95,117,402076585,-1
47,175,402076595,-1
119,109,402076607,-1
93,138,402076634,1
87,108,402076667,-1
46,27,402076675,-1
68,163,402076679,-1
80,95,402076686,1
80,101,402076709,1
113,121,402076736,-1
86,88,402076776,1
94,116,402076777,-1
118,88,402076821,-1
98,119,402076821,-1
104,93,402076882,-1
115,116,402076909,1
117,118,402076916,-1
37,150,402076922,-1
98,120,402076959,-1
80,92,402076977,1
97,118,402077003,-1
79,173,402077008,-1
88,111,402077018,-1
79,100,402077047,1
90,125,402077053,-1
109,124,402077082,-1
57,158,402077085,-1
107,103,402077086,-1
120,114,402077141,-1
93,88,402077145,1
117,106,402077173,-1
86,144,402077185,-1
99,122,402077289,-1
83,91,402077346,1
116,111,402077409,1
85,171,402077428,-1
93,115,402077429,-1
39,166,402077430,-1
116,110,402077456,1
108,131,402077467,-1
108,105,402077510,-1
93,116,402077513,-1
38,158,402077519,-1
127,134,402077520,-1
73,157,402077523,-1
120,113,402077549,-1
110,2,402077561,-1
116,108,402077585,-1
119,114,402077641,-1
120,111,402077648,-1
115,106,402077677,1
118,117,402077693,-1
119,108,402077698,-1
107,104,402077783,-1
106,129,402077789,-1
90,114,402077815,-1
83,89,402077830,1
97,116,402077890,-1
105,103,402077940,1
87,109,402077950,-1
114,119,402077989,1
100,123,402077990,-1
113,82,402078043,-1
112,120,402078054,-1
97,119,402078059,-1
111,120,402078066,1
116,116,402078105,-1
87,110,402078110,1
71,123,402078110,1
79,93,402078175,1
83,93,402078209,1
99,112,402078216,-1
108,129,402078221,-1
124,100,402078224,-1
88,107,402078226,-1
116,113,402078234,1
116,117,402078235,1
87,105,402078312,-1
119,111,402078314,-1
54,158,402078315,-1
114,147,402078319,-1
104,145,402078320,-1
94,117,402078400,-1
87,152,402078402,-1
91,115,402078404,-1
126,108,402078405,-1
114,118,402078491,1
107,130,402078493,-1
101,120,402078496,-1
117,141,402078497,-1
102,125,402078498,-1
116,114,402078512,1
126,134,402078531,-1
126,121,402078551,-1
94,135,402078572,1
89,113,402078578,-1
90,150,402078585,-1
149,161,402078591,-1
91,112,402078609,-1
116,107,402078621,-1
100,120,402078665,-1
51,139,402078670,-1
81,166,402078670,-1
118,106,402078752,-1
101,124,402078832,-1
119,115,402078832,-1
96,118,402078913,-1
115,153,402078916,-1
111,158,402078921,-1
55,144,402078990,1
116,115,402078995,1
53,177,402079009,-1
98,118,402079012,-1
91,113,402079018,-1
117,95,402079041,-1
97,117,402079045,-1
79,96,402079057,1
81,91,402079137,1
83,149,402079193,-1
86,106,402079194,-1
120,112,402079197,-1
69,126,402079200,-1
98,105,402079229,1
118,108,402079265,-1
111,133,402079280,-1
96,125,402079284,-1
98,138,402079364,-1
115,112,402079416,1
91,138,402079441,-1
117,117,402079488,-1
115,114,402079490,1
87,108,402079512,-1
106,147,402079520,-1
126,95,402079525,-1
99,122,402079549,-1
81,171,402079611,-1
98,179,402079612,-1
111,122,402079619,-1
79,94,402079641,1
80,96,402079665,-1
51,157,402079701,-1
118,116,402079704,-1
116,120,402079737,-1
115,117,402079741,1
95,116,402079786,-1
116,112,402079816,1
115,106,402079862,1
79,98,402079863,1
100,123,402079863,-1
104,126,402079863,-1
119,109,402079876,-1
72,141,402079916,-1
88,102,402079949,-1
84,145,402079961,-1
73,149,402080055,-1
119,114,402080057,-1
115,113,402080103,1
113,121,402080121,-1
92,116,402080130,-1
80,97,402080167,1
105,127,402080218,-1
115,115,402080247,-1
94,107,402080249,-1
94,136,402080309,1
90,114,402080399,-1
79,92,402080468,1
92,95,402080501,-1
55,157,402080508,-1
91,114,402080587,-1
103,121,402080592,-1
93,109,402080606,1
87,109,402080661,-1
91,115,402080661,-1
83,95,402080716,-1
116,109,402080749,1
87,179,402080756,-1
91,137,402080758,-1
93,104,402080779,-1
92,88,402080805,1
79,95,402080808,1
88,109,402080842,-1
112,135,402080847,-1
121,115,402080855,-1
85,98,402080888,1
84,153,402080932,-1
110,2,402080935,-1
93,103,402080938,-1
114,137,402080938,-1
82,91,402080974,1
101,121,402081013,-1
115,120,402081021,-1
100,145,402081023,-1
84,88,402081064,1
119,110,402081103,-1
86,107,402081110,-1
92,113,402081113,-1
120,116,402081116,-1
93,116,402081118,-1
115,107,402081150,-1
89,113,402081198,-1
92,115,402081201,-1
120,113,402081206,-1
101,123,402081213,-1
110,121,402081243,1
89,114,402081276,-1
109,121,402081291,1
71,135,402081311,-1
125,121,402081325,1
110,160,402081388,-1
116,119,402081395,-1
61,157,402081477,-1
56,146,402081519,-1
116,143,402081557,1
13,157,402081570,-1
100,122,402081576,-1
115,118,402081646,1
115,111,402081647,-1
111,121,402081649,1
116,111,402081664,1
126,110,402081665,-1
95,117,402081671,-1
117,107,402081734,-1
98,121,402081742,-1
107,122,402081758,1
118,93,402081791,-1
87,107,402081812,-1
79,97,402081812,1
118,83,402081829,-1
60,157,402081830,-1
100,113,402081830,-1
115,108,402081877,-1
104,127,402081911,-1
107,86,402081917,-1
51,176,402081923,-1
55,156,402081924,-1
115,110,402081949,1
108,122,402081985,-1
90,112,402082003,-1
99,122,402082012,-1
100,123,402082100,-1
94,117,402082102,-1
86,109,402082102,-1
49,157,402082139,-1
82,90,402082143,1
98,119,402082145,-1
83,88,402082216,1
116,137,402082220,-1
50,156,402082246,-1
114,120,402082283,-1
113,119,402082301,-1
85,106,402082363,-1
45,164,402082369,-1
113,140,402082372,-1
45,167,402082378,-1
99,120,402082379,-1
115,116,402082414,1
127,101,402082419,-1
115,109,402082450,1
118,108,402082453,-1
22,158,402082460,-1
14,136,402082462,-1
106,146,402082470,-1
27,96,402082471,-1
105,104,402082519,-1
91,88,402082535,1
115,112,402082547,1
110,131,402082555,-1
119,93,402082560,-1
118,115,402082623,-1
119,113,402082624,-1
96,118,402082628,-1
115,119,402082635,-1
123,103,402082635,-1
89,98,402082636,-1
25,140,402082637,-1
111,83,402082643,-1
32,125,402082672,-1
106,103,402082690,-1
119,112,402082698,-1
28,133,402082712,-1
103,127,402082715,-1
86,108,402082717,-1
47,160,402082718,-1
117,117,402082719,-1
118,145,402082726,-1
49,174,402082796,1
125,89,402082812,-1
65,156,402082818,-1
111,138,402082819,-1
117,88,402082825,-1
80,91,402082830,1
17,132,402082851,-1
82,89,402082894,1
90,113,402082895,-1
110,126,402082898,-1
112,88,402082899,-1
14,149,402082906,-1
87,146,402082906,-1
118,84,402082908,-1
123,100,402082913,-1
52,131,402082950,-1
119,114,402082979,-1
125,124,402082984,-1
9,146,402082990,-1
86,104,402083002,-1
78,93,402083025,1
115,114,402083046,1
87,111,402083054,1
151,51,402083073,-1
91,95,402083076,-1
119,107,402083082,-1
97,118,402083103,-1
115,153,402083150,-1
92,116,402083225,-1
24,148,402083239,-1
115,90,402083239,-1
111,130,402083250,-1
88,108,402083296,-1
119,111,402083315,-1
116,106,402083316,-1
121,109,402083319,-1
91,125,402083321,-1
53,144,402083381,1
88,100,402083403,-1
91,104,402083406,-1
114,105,402083476,-1
119,115,402083491,-1
91,127,402083495,-1
107,105,402083495,-1
109,82,402083497,-1
119,110,402083498,-1
107,104,402083501,-1
93,97,402083503,-1
24,151,402083558,-1
50,160,402083576,-1
53,116,402083582,-1
118,116,402083665,-1
97,105,402083715,1
89,114,402083725,-1
91,115,402083730,-1
115,113,402083733,1
125,110,402083736,-1
63,157,402083766,-1
114,117,402083771,1
114,140,402083820,-1
58,158,402083826,-1
115,115,402083838,-1
115,117,402083843,1
87,103,402083988,1
100,139,402083992,-1
102,126,402083996,-1
111,122,402084000,-1
38,143,402084002,-1
101,125,402084077,-1
90,115,402084078,-1
74,153,402084089,-1
114,153,402084159,-1
50,157,402084167,-1
115,110,402084214,1
110,2,402084245,-1
104,128,402084251,-1
78,95,402084274,1
102,121,402084334,-1
97,119,402084341,-1
110,162,402084384,-1
78,100,402084444,1
95,118,402084512,-1
95,179,402084518,-1
85,105,402084521,-1
78,96,402084549,1
78,99,402084566,1
116,118,402084594,-1
115,109,402084596,1
90,114,402084609,-1
117,116,402084685,-1
126,122,402084752,1
117,107,402084766,-1
97,120,402084773,-1
87,109,402084782,-1
115,108,402084805,-1
103,120,402084823,-1
115,111,402084865,-1
103,126,402084868,-1
112,87,402084874,-1
98,121,402084941,-1
117,118,402084957,-1
112,120,402085015,-1
101,124,402085029,-1
116,152,402085087,-1
99,122,402085113,-1
119,113,402085197,-1
99,175,402085209,-1
89,113,402085220,-1
77,93,402085291,1
107,130,402085299,-1
78,92,402085318,1
93,125,402085383,-1
115,112,402085432,1
79,91,402085433,1
114,118,402085460,1
88,113,402085471,-1
118,115,402085474,-1
106,132,402085478,-1
115,84,402085497,-1
128,126,402085506,-1
128,126,402085507,-1
86,109,402085557,-1
81,90,402085631,1
87,99,402085640,-1
86,110,402085673,1
48,157,402085676,-1
90,88,402085686,1
78,98,402085696,1
77,99,402085707,1
119,111,402085720,-1
104,94,402085732,-1
49,162,402085744,-1
113,156,402085825,-1
83,101,402085841,-1
94,117,402085864,-1
99,123,402085904,-1
87,108,402085913,-1
92,114,402085917,-1
125,120,402085935,1
114,106,402086028,1
115,114,402086036,1
115,116,402086090,1
82,88,402086136,1
119,112,402086184,-1
92,116,402086186,-1
109,131,402086199,-1
108,121,402086245,1
95,103,402086252,1
89,93,402086273,-1
98,122,402086315,-1
57,123,402086342,1
98,105,402086370,-1
114,120,402086405,-1
120,110,402086410,-1
79,101,402086416,1
104,103,402086417,1
116,116,402086423,-1
100,123,402086460,-1
116,106,402086462,-1
106,104,402086491,-1
112,119,402086495,1
81,89,402086513,1
100,124,402086551,-1
72,171,402086564,-1
89,114,402086616,-1
118,109,402086625,-1
120,114,402086634,-1
113,121,402086645,-1
63,159,402086712,1
90,115,402086818,-1
51,172,402086853,1
104,104,402086868,1
50,126,402086875,1
115,115,402086902,-1
82,103,402086910,-1
86,105,402086912,-1
105,129,402086912,-1
119,114,402086914,-1
111,159,402086925,-1
47,159,402086931,-1
128,105,402086945,-1
106,135,402087006,-1
122,136,402087044,-1
91,116,402087128,-1
112,121,402087177,-1
117,116,402087198,-1
115,110,402087230,1
109,138,402087282,-1
91,103,402087287,-1
129,77,402087287,-1
114,113,402087297,1
115,107,402087361,-1
122,112,402087404,-1
122,112,402087406,-1
98,113,402087422,-1
115,119,402087455,-1
118,114,402087461,-1
102,125,402087466,-1
64,154,402087479,-1
115,113,402087498,1
114,116,402087504,1
110,122,402087542,-1
119,110,402087557,-1
62,156,402087564,-1
77,98,402087586,1
110,120,402087624,1
105,103,402087624,-1
117,87,402087624,-1
116,117,402087633,-1
102,93,402087634,-1
99,120,402087701,-1
108,137,402087727,-1
110,2,402087761,-1
93,137,402087774,1
91,146,402087823,-1
85,107,402087859,-1
110,129,402087896,-1
84,143,402087908,-1
118,107,402087913,-1
103,147,402087944,-1
83,97,402087967,-1
77,92,402087982,1
85,108,402087997,-1
112,158,402087998,-1
83,162,402087998,-1
93,109,402088012,-1
77,95,402088016,1
99,119,402088017,-1
115,118,402088076,-1
119,113,402088077,-1
82,173,402088089,-1
120,115,402088178,-1
119,101,402088181,-1
117,117,402088196,-1
70,127,402088205,-1
78,91,402088230,1
96,118,402088265,-1
72,142,402088268,-1
24,152,402088269,-1
109,163,402088274,-1
69,168,402088283,-1
86,111,402088306,1
105,128,402088334,-1
110,121,402088341,1
118,115,402088350,-1
103,145,402088359,-1
89,88,402088414,1
99,123,402088420,-1
88,113,402088426,-1
39,176,402088441,-1
103,127,402088457,-1
114,107,402088457,1
116,118,402088521,-1
101,125,402088522,-1
72,158,402088522,-1
113,117,402088553,1
88,114,402088602,-1
115,153,402088605,-1
95,118,402088610,-1
111,120,402088631,1
118,108,402088701,-1
93,117,402088784,-1
113,119,402088847,-1
114,106,402088875,1
113,118,402088876,1
118,98,402088878,-1
117,111,402088885,-1
95,103,402088947,-1
112,132,402089050,-1
91,147,402089051,-1
119,80,402089053,-1
102,123,402089058,-1
85,147,402089136,-1
119,112,402089224,-1
98,122,402089226,-1
51,130,402089230,-1
112,140,402089303,-1
100,121,402089308,-1
107,146,402089319,-1
114,112,402089386,1
97,119,402089392,-1
100,124,402089405,-1
102,147,402089408,-1
101,147,402089411,-1
122,108,402089413,-1
117,107,402089421,-1
80,90,402089480,1
111,121,402089483,-1
90,115,402089487,-1
114,117,402089490,1
48,168,402089491,-1
84,104,402089493,-1
89,150,402089510,-1
60,158,402089565,-1
64,155,402089590,-1
96,119,402089620,-1
115,111,402089628,-1
124,85,402089701,-1
109,121,402089710,1
114,114,402089712,1
37,149,402089759,-1
121,99,402089839,-1
90,95,402089846,-1
77,96,402089891,1
103,103,402089908,1
119,109,402089937,-1
105,104,402089944,-1
57,177,402089951,-1
118,109,402089970,-1
81,88,402089998,1
91,116,402090007,-1
102,126,402090018,-1
84,105,402090018,-1
97,112,402090026,-1
80,89,402090052,1
85,93,402090110,-1
118,111,402090112,-1
56,175,402090115,-1
81,95,402090172,1
91,87,402090228,-1
118,114,402090234,-1
50,161,402090294,-1
114,111,402090341,1
113,105,402090367,1
105,102,402090378,-1
109,134,402090379,-1
85,104,402090382,-1
53,116,402090383,-1
114,88,402090387,-1
112,121,402090460,-1
88,101,402090478,-1
114,115,402090495,1
91,128,402090527,-1
100,120,402090543,-1
112,148,402090572,-1
115,116,402090573,1
114,108,402090575,1
117,116,402090627,-1
115,112,402090643,1
81,103,402090652,-1
114,109,402090705,1
90,114,402090712,-1
122,103,402090714,-1
98,123,402090717,-1
110,134,402090720,-1
27,96,402090730,-1
114,113,402090762,1
114,110,402090769,1
113,120,402090797,-1
116,117,402090798,-1
115,88,402090804,-1
88,114,402090808,-1
110,2,402090811,-1
89,114,402090811,-1
60,157,402090813,-1
131,107,402090828,-1
77,100,402090835,1
120,87,402090861,-1
84,106,402090892,-1
97,131,402090897,-1
27,134,402090957,-1
87,113,402090970,-1
122,90,402090983,-1
104,110,402090989,-1
80,94,402090995,1
127,125,402091013,-1
108,123,402091042,-1
106,122,402091064,1
90,87,402091087,1
111,119,402091092,1
117,115,402091108,-1
86,108,402091147,-1
94,125,402091162,-1
99,123,402091193,-1
117,108,402091196,-1
44,166,402091197,-1
34,123,402091198,-1
108,124,402091216,-1
99,103,402091264,-1
76,93,402091278,1
92,116,402091292,-1
116,116,402091345,-1
114,107,402091354,1
86,109,402091382,-1
104,103,402091428,-1
111,90,402091440,-1
91,114,402091509,-1
82,104,402091513,-1
110,122,402091519,-1
123,101,402091520,-1
77,91,402091530,1
116,146,402091554,-1
88,178,402091605,-1
115,118,402091679,-1
116,85,402091687,-1
48,164,402091689,-1
5,128,402091769,-1
112,137,402091770,-1
113,137,402091771,-1
97,105,402091778,-1
129,119,402091797,1
85,110,402091832,1
100,125,402091843,-1
69,125,402091857,-1
118,110,402091915,-1
37,152,402091930,-1
101,139,402091940,-1
108,144,402091976,-1
106,129,402092005,-1
123,110,402092008,-1
99,115,402092022,-1
116,87,402092068,-1
110,137,402092101,-1
114,92,402092105,-1
94,117,402092177,-1
45,165,402092178,-1
89,112,402092183,-1
129,85,402092186,-1
114,120,402092187,-1
54,159,402092244,-1
39,167,402092263,-1
86,153,402092268,-1
41,176,402092272,-1
114,112,402092335,1
98,122,402092352,-1
71,136,402092359,-1
79,89,402092360,1
97,121,402092428,-1
95,118,402092433,-1
45,168,402092435,-1
89,115,402092515,-1
109,161,402092516,-1
114,111,402092541,1
83,98,402092571,1
114,110,402092587,1
100,124,402092593,-1
115,142,402092609,-1
92,148,402092609,-1
116,106,402092613,-1
89,87,402092667,1
83,106,402092678,-1
93,117,402092693,-1
114,119,402092713,-1
130,94,402092759,-1
116,107,402092764,-1
115,105,402092774,-1
77,97,402092849,1
111,121,402092918,-1
101,125,402092919,-1
115,131,402092920,-1
123,124,402092925,-1
88,93,402092926,-1
57,146,402092926,-1
80,88,402092934,1
107,121,402092970,1
114,108,402092972,1
114,109,402092995,1
109,126,402093005,-1
37,143,402093008,-1
79,171,402093010,-1
96,117,402093013,-1
91,115,402093016,-1
105,122,402093021,1
108,132,402093056,-1
86,147,402093063,-1
114,114,402093065,1
41,172,402093087,-1
91,116,402093091,-1
101,11,402093096,-1
86,148,402093135,-1
118,113,402093246,-1
117,106,402093269,-1
114,116,402093273,1
87,147,402093274,-1
79,90,402093277,1
113,106,402093323,1
111,152,402093454,1
80,168,402093458,-1
112,119,402093500,1
116,116,402093508,-1
115,106,402093515,-1
113,105,402093542,1
59,152,402093567,-1
118,114,402093575,-1
87,113,402093603,-1
88,147,402093608,-1
79,92,402093672,1
88,114,402093684,-1
106,133,402093692,-1
95,130,402093711,-1
76,98,402093768,1
88,113,402093775,-1
117,115,402093791,-1
114,117,402093837,1
128,128,402093848,1
72,143,402093871,-1
87,114,402093877,-1
84,107,402093879,-1
128,127,402093901,-1
114,87,402093907,-1
114,115,402093913,1
94,103,402093923,1
115,115,402093955,-1
101,126,402093962,-1
117,86,402093963,-1
134,87,402093974,-1
115,114,402093985,1
55,156,402094034,-1
89,113,402094049,-1
24,144,402094057,-1
118,111,402094067,-1
118,112,402094130,-1
70,163,402094138,-1
113,118,402094147,1
75,94,402094167,1
81,87,402094180,1
53,171,402094196,1
113,113,402094207,1
113,116,402094209,1
64,158,402094223,-1
80,169,402094223,-1
90,115,402094224,-1
61,133,402094231,-1
114,113,402094233,1
110,2,402094260,-1
85,103,402094272,1
113,120,402094299,-1
119,148,402094400,-1
117,116,402094406,-1
109,150,402094409,-1
119,113,402094411,-1
103,104,402094448,1
73,150,402094449,-1
80,103,402094488,-1
108,160,402094489,-1
81,172,402094507,-1
99,146,402094535,-1
102,94,402094535,-1
9,147,402094582,-1
83,163,402094583,-1
95,105,402094636,1
105,131,402094665,-1
117,114,402094741,-1
98,120,402094744,-1
105,134,402094753,-1
29,129,402094754,-1
75,93,402094820,1
106,130,402094840,-1
114,112,402094856,1
127,126,402094898,1
114,111,402094914,1
90,116,402094922,-1
117,108,402095004,-1
116,117,402095010,-1
75,92,402095011,-1
87,93,402095016,-1
113,155,402095020,-1
76,92,402095059,1
118,110,402095106,-1
76,95,402095143,1
111,123,402095190,-1
48,166,402095198,-1
55,157,402095202,-1
108,121,402095212,1
56,157,402095216,1
49,153,402095219,-1
128,131,402095230,1
89,115,402095274,-1
109,120,402095336,1
110,157,402095365,-1
118,109,402095368,-1
115,89,402095372,-1
109,122,402095446,-1
37,145,402095448,-1
62,134,402095450,-1
118,143,402095485,-1
38,159,402095536,-1
72,170,402095536,-1
114,110,402095572,1
118,113,402095608,-1
86,113,402095618,-1
40,174,402095619,-1
90,147,402095621,-1
49,177,402095635,-1
87,149,402095637,-1
73,151,402095704,-1
50,151,402095708,-1
103,110,402095712,-1
122,87,402095714,-1
85,168,402095720,-1
88,87,402095763,1
52,174,402095789,-1
115,117,402095809,-1
104,103,402095865,-1
99,123,402095880,-1
96,120,402095931,-1
85,109,402095978,-1
87,114,402095981,-1
112,104,402096039,1
117,109,402096052,-1
81,170,402096063,-1
113,114,402096097,1
116,116,402096134,-1
94,118,402096140,-1
116,107,402096141,-1
115,118,402096144,-1
63,153,402096148,-1
103,128,402096150,-1
74,158,402096154,-1
87,88,402096186,1
127,124,402096204,-1
113,117,402096212,1
26,141,402096223,-1
61,135,402096227,-1
104,102,402096267,-1
107,140,402096304,-1
85,108,402096319,-1
112,118,402096335,1
76,99,402096375,1
